state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received,election_year,qualification,total_votes_const,vote_share,rank_in_const,won_seat,top1_vote_share,top2_vote_share,margin_top1_top2,num_candidates,enp
1,4,2,P017,अकल बहादुर तामाङ्ग,पुरुष,47,558,2074,unknown,81957,0.006808448,5,0,0.559037056,0.391058726,0.16797833,11,2.146692895
1,4,2,P055,प्रशुराम मगर,पुरुष,50,531,2074,unknown,81957,0.006479007,6,0,0.559037056,0.391058726,0.16797833,11,2.146692895
1,4,2,P096,वृज किशोर ठाकुर,पुरुष,41,416,2074,unknown,81957,0.005075832,7,0,0.559037056,0.391058726,0.16797833,11,2.146692895
1,4,2,P014,भक्त बहादुर बुढाथोकी,पुरुष,47,324,2074,unknown,81957,0.003953293,8,0,0.559037056,0.391058726,0.16797833,11,2.146692895
1,4,2,P029,महाबीर राई,पुरुष,45,272,2074,unknown,81957,0.003318814,9,0,0.559037056,0.391058726,0.16797833,11,2.146692895
1,4,2,P113,होमचन्द्र घिमिरे,पुरुष,47,166,2074,unknown,81957,0.002025452,10,0,0.559037056,0.391058726,0.16797833,11,2.146692895
1,4,2,P023,गणेश प्रसाद सिवाकोटी,पुरुष,49,110,2074,unknown,81957,0.001342167,11,0,0.559037056,0.391058726,0.16797833,11,2.146692895
1,4,3,P005,राजेन्द्र प्रसाद लिङ्देन,पुरुष,52,44614,2074,unknown,78932,0.565220696,1,1,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,3,P002,कृष्ण प्रसाद सिटौला,पुरुष,68,31171,2074,unknown,78932,0.394909542,2,0,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,3,P022,नवराज खरेल,पुरुष,46,1306,2074,unknown,78932,0.016545888,3,0,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,3,P029,सुन्दरलाल शाह,पुरुष,46,378,2074,unknown,78932,0.004788932,4,0,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,3,P017,श्याम बहादुर लिम्वु,पुरुष,31,299,2074,unknown,78932,0.003788071,5,0,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,3,P096,देवीरमण भट्टराई,पुरुष,62,224,2074,unknown,78932,0.002837886,6,0,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,3,P000,विरेन्द्र प्रसाद सापकोटा,पुरुष,50,192,2074,unknown,78932,0.002432474,7,0,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,3,P023,सुजाता ओली (उप्रेती),महिला,57,188,2074,unknown,78932,0.002381797,8,0,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,3,P055,सेकेन्द्र राजवँशी,पुरुष,65,161,2074,unknown,78932,0.00203973,9,0,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,3,P092,साजन सुब्वा,पुरुष,25,153,2074,unknown,78932,0.001938377,10,0,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,3,P034,मिन प्रसाद चम्लागाईँ,पुरुष,56,143,2074,unknown,78932,0.001811686,11,0,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,3,P012,अविचन्द्र भण्डारी,पुरुष,44,103,2074,unknown,78932,0.001304921,12,0,0.565220696,0.394909542,0.170311154,12,2.101848966
1,4,4,P001,लाल प्रसाद साँवा लिम्बू,पुरुष,50,43515,2074,unknown,73629,0.591003545,1,1,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,4,P002,देउ कुमार थेवे,पुरुष,52,26822,2074,unknown,73629,0.364285811,2,0,0.591003545,0.364285811,0.226717734,13,2.073004217
