state_id,district_id,const_id,party_id,candidate_name,gender,age,qualification,election_year,seat_id,candidate_name_norm,candidate_key,pr_share_seat_79,pr_rank_seat_79,pr_share_district_74,pr_rank_district_74,missing_pr_share_seat_79,missing_pr_rank_seat_79,missing_pr_share_district_74,missing_pr_rank_district_74,Literacy Rate 2078,edu_below_slc,edu_slc_to_inter,edu_grad_or_higher,cand_vote_share_prev_79,cand_rank_prev_79,cand_won_prev_79,missing_cand_vote_share_prev_79,missing_cand_rank_prev_79,missing_cand_won_prev_79,party_vote_share_prev_79,party_rank_prev_79,party_won_prev_79,party_contested_prev_79,missing_party_vote_share_prev_79,missing_party_rank_prev_79,missing_party_won_prev_79,enp_prev_79,num_candidates_prev_79,margin_prev_79,top1_share_prev_79,top2_share_prev_79,missing_enp_prev_79,missing_num_candidates_prev_79,missing_margin_prev_79,missing_top1_share_prev_79,missing_top2_share_prev_79,is_independent,is_alternative_party,is_youth_favoured_party,has_national_leader_presence,is_old_established_party,was_in_ousted_government
1,2,1,P011,लक्षुमान तामाङ,पुरुष,40,see_slc,2082,2_1,लक ष म न त म ङ,लक ष म न त म ङ_2_1,0.0005619398162456801,19.0,0.00042128506471810216,17.0,0,0,0,0,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,0,0,0
1,2,1,P014,प्रकाश काफ्ले,पुरुष,38,plus2,2082,2_1,प रक श क फ ल,प रक श क फ ल_2_1,0.0,0.0,0.002556764530702965,13.0,1,1,0,0,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,0,0,0
1,2,1,P017,राम कुमार तुम्रोक,पुरुष,47,below_slc,2082,2_1,र म क म र त म र क,र म क म र त म र क_2_1,0.009454637408333567,8.0,0.004488864999927364,11.0,0,0,0,0,82.29,69.74,21.14,3.29,0.007373819,8.0,0.0,0,0,0,0.007373819,8.0,0.0,1,0,0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,0,0,0
1,2,1,P025,नरेन्द्र प्रसाद कुरुम्‍वाङ,पुरुष,68,see_slc,2082,2_1,नर न द र प रस द क र म व ङ,नर न द र प रस द क र म व ङ_2_1,0.0,0.0,0.0,0.0,1,1,1,1,82.29,69.74,21.14,3.29,0.004266079,9.0,0.0,0,0,0,0.0,0.0,0.0,0,1,1,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,0,0,0
1,2,1,P032,टेकबहादुर सुब्बा,पुरुष,42,plus2,2082,2_1,ट कबह द र स ब ब,ट कबह द र स ब ब_2_1,0.0,0.0,0.0,0.0,1,1,1,1,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,0,0,0
1,2,1,P034,भानु भक्त फियाक,पुरुष,50,bachelors,2082,2_1,भ न भक त फ य क,भ न भक त फ य क_2_1,0.023039532466072883,7.0,0.03341226375350466,6.0,0,0,0,0,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.014281476,5.0,0.0,1,0,0,0,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,0,0,0
1,2,1,P046,हस्त राज शेर्मा,पुरुष,40,see_slc,2082,2_1,हस त र ज श र म,हस त र ज श र म_2_1,0.0,0.0,0.0,0.0,1,1,1,1,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,1,0,1,0,0
1,2,1,P052,विजय नेम्वाङ,पुरुष,43,below_slc,2082,2_1,व जय न म व ङ,व जय न म व ङ_2_1,1.4048495406142002e-05,45.0,0.0,0.0,0,0,1,1,82.29,69.74,21.14,3.29,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.422248783,15,0.0006498,0.453941885,0.453292085,0,0,0,0,0,0,0,0,0,0,0
1,3,1,P001,काजी मान कागते,पुरुष,64,unknown,2082,3_1,क ज म न क गत,क ज म न क गत_3_1,0.36084156591622946,1.0,0.48850665821179456,1.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.451664387,1.0,1.0,1,0,0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,0,0,1,1,1
1,3,1,P002,निश्कल राई,पुरुष,35,unknown,2082,3_1,न श कल र ई,न श कल र ई_3_1,0.2886521960378319,2.0,0.3360177552314521,2.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,0,0,1,1,1
1,3,1,P003,रन बहादुर राई,पुरुष,54,unknown,2082,3_1,रन बह द र र ई,रन बह द र र ई_3_1,0.16968186843074978,3.0,0.057276474318325936,3.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.404942299,2.0,0.0,1,0,0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,0,0,1,1,0
1,3,1,P004,विमल गदाल,पुरुष,54,unknown,2082,3_1,व मल गद ल,व मल गद ल_3_1,0.0781027917668322,4.0,0.0,0.0,0,0,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,1,1,1,0,0
