district_id,const_id,party_id,vote_received
5,1,P041,6
5,1,P073,6
5,1,P031,6
5,1,P093,5
5,1,P016,4
5,1,P039,4
5,1,P091,4
5,1,P033,3
5,1,P049,3
5,1,P092,2
5,1,P104,2
5,1,P018,2
5,1,P052,1
5,1,P053,1
5,1,P023,1
5,1,P050,1
6,1,P001,17258
6,1,P002,14606
6,1,P003,3066
6,1,P004,2188
6,1,P034,1079
6,1,P005,782
6,1,P008,589
6,1,P059,215
6,1,P006,156
6,1,P017,137
6,1,P022,74
6,1,P007,66
6,1,P010,52
6,1,P061,40
6,1,P055,37
6,1,P058,31
6,1,P012,29
6,1,P013,27
6,1,P011,25
6,1,P088,23
6,1,P016,22
6,1,P045,21
6,1,P093,15
6,1,P050,14
6,1,P090,12
6,1,P033,12
6,1,P009,8
6,1,P074,8
6,1,P048,7
6,1,P089,7
6,1,P041,6
6,1,P094,6
6,1,P092,5
6,1,P073,5
6,1,P049,5
6,1,P026,4
6,1,P039,3
6,1,P031,3
6,1,P023,3
6,1,P095,2
6,1,P104,2
6,1,P018,2
6,1,P036,2
6,1,P052,2
6,1,P091,1
6,1,P053,0
6,1,P024,0
7,1,P001,22940
7,1,P002,14776
7,1,P003,12750
7,1,P008,3693
7,1,P006,1391
7,1,P004,1218
7,1,P017,431
7,1,P005,419
7,1,P041,336
7,1,P022,168
7,1,P013,102
7,1,P058,62
7,1,P007,48
7,1,P090,45
7,1,P012,39
7,1,P011,34
7,1,P024,29
7,1,P010,25
7,1,P061,21
7,1,P089,19
7,1,P033,17
7,1,P059,17
7,1,P036,16
7,1,P074,14
7,1,P026,13
7,1,P045,13
7,1,P073,12
7,1,P055,12
7,1,P009,11
7,1,P034,9
7,1,P049,8
7,1,P088,8
7,1,P094,8
7,1,P095,6
7,1,P104,5
7,1,P018,5
7,1,P048,4
7,1,P016,3
7,1,P052,3
7,1,P093,3
7,1,P091,3
7,1,P039,2
7,1,P053,2
7,1,P092,2
7,1,P023,1
7,1,P050,0
7,1,P031,0
8,1,P001,29407
8,1,P002,18135
8,1,P003,4838
8,1,P006,4182
8,1,P004,3979
8,1,P008,2449
8,1,P005,1791
8,1,P034,362
8,1,P061,152
8,1,P022,142
8,1,P017,126
8,1,P007,89
8,1,P059,68
8,1,P049,61
8,1,P013,60
8,1,P058,52
8,1,P016,41
8,1,P011,40
8,1,P089,30
8,1,P012,29
8,1,P073,22
8,1,P055,20
8,1,P024,19
8,1,P090,17
8,1,P039,16
8,1,P033,15
8,1,P045,15
8,1,P009,14
8,1,P041,13
8,1,P026,12
8,1,P010,12
8,1,P074,12
8,1,P095,11
8,1,P104,10
8,1,P091,9
8,1,P092,8
8,1,P094,8
8,1,P023,7
8,1,P031,7
8,1,P052,7
8,1,P018,7
8,1,P088,7
8,1,P093,7
8,1,P053,5
8,1,P050,3
8,1,P048,2
8,1,P036,2
9,1,P001,23342
9,1,P002,17015
9,1,P004,9774
9,1,P003,6445
9,1,P005,5672
9,1,P008,2874
9,1,P017,2779
9,1,P034,1112
9,1,P013,421
9,1,P006,397
9,1,P022,239
9,1,P007,225
9,1,P011,133
9,1,P055,104
9,1,P059,76
9,1,P058,70
9,1,P089,55
9,1,P012,50
9,1,P033,40
9,1,P061,37
9,1,P009,28
9,1,P010,25
9,1,P024,25
9,1,P093,25
9,1,P090,24
9,1,P041,22
9,1,P026,21
9,1,P045,17
9,1,P036,14
9,1,P039,11
9,1,P074,10
9,1,P073,10
9,1,P049,10
9,1,P088,9
9,1,P052,8
9,1,P092,7
9,1,P053,7
9,1,P050,7
9,1,P048,7
9,1,P094,7
9,1,P023,6
9,1,P104,6
9,1,P095,5
9,1,P018,4
9,1,P016,4
9,1,P091,3
9,1,P031,1
9,2,P001,27914
9,2,P002,23395
9,2,P003,7537
9,2,P004,7301
9,2,P005,3866
9,2,P006,1181
9,2,P013,977
9,2,P007,658
9,2,P017,501
9,2,P010,401
9,2,P022,348
9,2,P008,254
9,2,P034,253
9,2,P009,127
9,2,P033,99
9,2,P058,87
9,2,P011,70
9,2,P026,68
9,2,P089,67
9,2,P012,48
9,2,P090,39
9,2,P061,34
9,2,P055,33
9,2,P091,33
9,2,P050,32
9,2,P041,27
9,2,P024,26
9,2,P016,25
9,2,P074,24
9,2,P059,19
9,2,P093,18
9,2,P039,17
9,2,P048,16
9,2,P045,16
9,2,P095,14
9,2,P049,13
9,2,P104,12
9,2,P088,12
9,2,P073,12
9,2,P092,12
9,2,P031,11
9,2,P094,9
9,2,P052,7
9,2,P036,6
9,2,P053,5
9,2,P018,4
9,2,P023,4
9,3,P002,29859
9,3,P001,25028
9,3,P004,14408
9,3,P005,9372
9,3,P003,4644
9,3,P008,3972
9,3,P017,2236
9,3,P034,1012
9,3,P006,483
9,3,P009,456
9,3,P007,323
9,3,P013,299
9,3,P055,217
9,3,P022,120
9,3,P011,81
9,3,P089,67
9,3,P039,66
9,3,P012,60
9,3,P024,54
9,3,P090,52
9,3,P058,49
9,3,P033,45
9,3,P010,38
9,3,P059,34
