state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received,qualification
1,7,1,P001,शेरधन राई,पुरुष,51,26202,Masters
1,7,1,P041,डा.सुरेश बस्नेत,पुरुष,45,1087,Ph. D
1,7,1,P006,ध्रुव छाङछा दुमिहाङ्ग राई,पुरुष,35,943,S.L.C.
1,7,1,P004,सनम छिरिङ शेर्पा,पुरुष,40,500,Education N/A
1,7,1,P017,चन्द्र प्रसाद राई,पुरुष,44,386,UNDER SLC
1,7,1,P005,जितेन्द्र घले,पुरुष,49,297,S.L.C.
1,7,1,P013,रमेश प्रसाद ओझा,पुरुष,48,252,Bachelor
1,7,1,P000,ऋषि धन राई,पुरुष,47,162,UNDER SLC
1,7,1,P000,दिलिप कुमार खतिवडा,पुरुष,57,124,Bachelor
1,7,1,P000,शक्ति राज राई,पुरुष,43,105,Masters
1,7,1,P000,महेश योञ्जन,पुरुष,56,36,Proficiency Certificate
1,8,1,P001,राजेन्द्र कुमार राई,पुरुष,56,30101,Bachelor
1,8,1,P002,सुनील बहादुर थापा,पुरुष,63,28704,Masters
1,8,1,P000,हेमराज भण्डारी,पुरुष,46,5926,Bachelor
1,8,1,P005,कुमार बहादुर थापा,पुरुष,70,1059,S.L.C.
1,8,1,P034,आराम कुमार लिम्बु,पुरुष,35,625,Education N/A
1,8,1,P017,विश्वा मित्र लावती,पुरुष,45,217,Proficiency Certificate
1,8,1,P049,रमेश राई,पुरुष,29,95,Education N/A
1,9,1,P002,डिग बहादुर लिम्वु,पुरुष,59,27297,S.L.C.
1,9,1,P001,घनश्याम खतीवडा,पुरुष,60,26867,Bachelor
1,9,1,P004,कमल बहादुर श्रेष्ठ,पुरुष,36,8063,एस.एल.सि.
1,9,1,P005,होम नाथ गौतम,पुरुष,44,4667,बि ए
1,9,1,P017,सुरज लिम्वु,पुरुष,38,2218,एस एस सि
1,9,1,P034,हर्क मान सम्वाहाम्फे,पुरुष,65,711,Education N/A
1,9,1,P013,राजेन्द्र प्रसाद पौडेल,पुरुष,41,474,Proficiency Certificate
1,9,1,P000,याम प्रसाद दाहाल,पुरुष,57,196,पि एच डि
1,9,1,P055,बुद्ध माया लिम्बु,महिला,39,62,एस एल सि
1,9,1,P011,लक्ष्मी प्रसाद कवां,पुरुष,45,46,Bachelor
1,9,1,P000,निलु लिम्बु,महिला,33,27,Education N/A
1,9,1,P000,तिलक बहादुर मगर,पुरुष,40,21,UNDER SLC
1,9,1,P000,मनिसा सुवेदी,महिला,35,21,10+2
1,9,1,P000,फूल कुमारी पंडित राई,महिला,29,6,Education N/A
1,9,2,P001,ऋषिकेश पोखरेल,पुरुष,54,33148,b.b.s
1,9,2,P002,सुजाता कोइराला,महिला,68,31940,स्नातक तह
1,9,2,P004,ठगेन्द्र प्रसाद न्यौपाने,पुरुष,34,4987,प्रवीणता प्रमाण पत्र
1,9,2,P005,गोपाल दाहाल,पुरुष,55,2745,स्नाकोत्तर तह
1,9,2,P013,विनोद मणी भट्टराई,पुरुष,48,1457,"स्नाकोत्तर अंग्र्जी साहित्य,स्नाकोत्तर राजनितिक शास्त्र"
1,9,2,P017,नारायण विसंखे,पुरुष,43,424,स्नातकोत्तर
1,9,2,P010,नारायण प्रसाद गंगाई,पुरुष,55,334,S.L.C.
1,9,2,P034,खील बहादुर खङ्का,पुरुष,44,219,L.L.C
1,9,2,P000,विशेश्‍वर ऋषिदेव,पुरुष,41,207,साधारण
1,9,2,P000,राज कुमार सिवाकोटी,पुरुष,52,118,स्नातकोत्तर
1,9,2,P011,सुरेश कवाँ,पुरुष,33,38,MASTERS DEGREE
1,9,2,P095,मिना कटुवाल बुढाथोकी,महिला,57,27,स्ननातक तह
1,9,2,P000,सुनिल कुमार साह,पुरुष,25,22,s.l.c
1,9,3,P002,शुनिल कुमार शर्मा,पुरुष,44,48631,mbbs
1,9,3,P001,भानु भक्त ढकाल,पुरुष,60,25895,स्नातक
1,9,3,P005,रेखा थापा,महिला,41,10998,10+2
1,9,3,P004,विकास उप्रेती,पुरुष,40,3172,Bachelor
1,9,3,P017,बिकेन्द्र राई,पुरुष,40,1520,S.L.C.
1,9,3,P034,चन्द्रिका देवी लिम्बु,महिला,40,453,10+2
1,9,3,P000,जय राज संयोग,पुरुष,50,388,Masters
1,9,3,P013,खगेन्द्र प्रसाद न्यौपाने,पुरुष,56,326,S.L.C.
1,9,3,P022,उद्धिम बहादुर खड्का,पुरुष,40,234,slc
1,9,3,P000,कृष्‍ण राई,पुरुष,75,110,SLC
1,9,3,P000,गणेश बहादुर पोख्रेल,पुरुष,40,74,S.L.C.
1,9,3,P000,इन्द्र प्रसाद सुवेदी,पुरुष,59,63,Masters
1,9,3,P000,इन्दिरा थापा,महिला,40,61,SLC
1,9,3,P011,ओम नारायण राजवातर धामी,पुरुष,38,46,Bachelor
1,9,3,P090,कमल लिम्बु,पुरुष,29,38,UNDER SLC
1,9,3,P000,दिनेश चापागाई,पुरुष,43,37,S.L.C.
1,9,3,P000,सुवास धिमाल,पुरुष,51,31,SLC
1,9,3,P000,शिव कुमार पौडेल,पुरुष,56,25,I.Ed.
1,9,3,P095,नारायण शर्मा,पुरुष,54,21,शास्त्री
1,9,3,P010,भुवन राइ,पुरुष,33,18,slc
1,9,3,P000,अरविन शाह,पुरुष,30,10,slc
1,9,3,P000,सुरेश भण्डारी,पुरुष,42,10,डिप्लोमा
1,9,3,P000,कमल राजवंशी,पुरुष,26,8,S.L.C.
1,9,3,P000,हिम प्रसाद मिश्र,पुरुष,58,8,S.L.C.
