district_id,party_id,votes_received,year
18,P058,195,2074
18,P017,126,2074
18,P012,109,2074
18,P011,88,2074
18,P029,66,2074
18,P110,63,2074
18,P101,53,2074
18,P074,42,2074
18,P099,41,2074
18,P055,28,2074
18,P021,23,2074
18,P059,23,2074
18,P115,20,2074
18,P100,18,2074
18,P114,17,2074
18,P102,17,2074
18,P104,12,2074
18,P018,11,2074
18,P023,10,2074
18,P091,9,2074
18,P039,9,2074
18,P036,8,2074
18,P111,8,2074
18,P034,7,2074
18,P106,6,2074
18,P116,6,2074
18,P098,5,2074
18,P103,4,2074
18,P105,4,2074
18,P117,3,2074
18,P027,3,2074
18,P109,3,2074
18,P073,3,2074
18,P015,3,2074
18,P107,3,2074
18,P108,2,2074
18,P033,2,2074
18,P112,1,2074
19,P001,37777,2074
19,P002,34489,2074
19,P003,26194,2074
19,P014,1707,2074
19,P092,909,2074
19,P022,596,2074
19,P005,454,2074
19,P055,304,2074
19,P097,259,2074
19,P058,245,2074
19,P113,213,2074
19,P006,161,2074
19,P099,127,2074
19,P033,109,2074
19,P011,87,2074
19,P029,87,2074
19,P074,81,2074
19,P059,74,2074
19,P096,71,2074
19,P100,62,2074
19,P012,58,2074
19,P098,41,2074
19,P102,35,2074
19,P023,32,2074
19,P036,32,2074
19,P110,29,2074
19,P114,28,2074
19,P101,24,2074
19,P108,19,2074
19,P105,16,2074
19,P021,15,2074
19,P039,15,2074
19,P027,14,2074
19,P018,12,2074
19,P017,12,2074
19,P111,10,2074
19,P091,9,2074
19,P112,8,2074
19,P073,8,2074
19,P106,7,2074
19,P103,6,2074
19,P116,6,2074
19,P117,6,2074
19,P115,5,2074
19,P104,4,2074
19,P015,4,2074
19,P107,4,2074
19,P034,3,2074
19,P109,2,2074
20,P002,62199,2074
20,P029,52009,2074
20,P006,51113,2074
20,P001,38150,2074
20,P003,27178,2074
20,P005,2308,2074
20,P097,1494,2074
20,P022,1323,2074
20,P104,840,2074
20,P058,759,2074
20,P114,617,2074
20,P014,572,2074
20,P096,371,2074
20,P092,333,2074
20,P055,323,2074
20,P018,302,2074
20,P113,166,2074
20,P039,153,2074
20,P027,140,2074
20,P023,125,2074
20,P011,122,2074
20,P116,88,2074
20,P099,69,2074
20,P103,59,2074
20,P012,54,2074
20,P110,50,2074
20,P111,45,2074
20,P100,44,2074
20,P074,39,2074
20,P102,32,2074
20,P091,31,2074
20,P105,29,2074
20,P036,26,2074
20,P017,24,2074
20,P108,24,2074
20,P098,24,2074
20,P059,22,2074
20,P112,21,2074
20,P101,21,2074
20,P033,20,2074
20,P109,19,2074
20,P021,18,2074
20,P034,17,2074
20,P015,14,2074
20,P106,14,2074
20,P107,13,2074
20,P115,10,2074
20,P073,10,2074
20,P117,6,2074
21,P029,60201,2074
21,P002,34020,2074
21,P006,29551,2074
21,P003,29273,2074
21,P001,13694,2074
21,P104,3916,2074
21,P018,2074,2074
21,P005,1477,2074
21,P014,1290,2074
21,P022,1103,2074
21,P055,985,2074
21,P114,795,2074
21,P097,730,2074
21,P092,727,2074
21,P113,442,2074
21,P058,355,2074
21,P096,254,2074
21,P011,142,2074
21,P023,95,2074
21,P100,81,2074
21,P036,78,2074
21,P012,68,2074
21,P074,59,2074
21,P111,36,2074
21,P102,35,2074
21,P110,27,2074
21,P073,27,2074
21,P039,26,2074
21,P105,24,2074
21,P116,24,2074
21,P112,20,2074
21,P059,19,2074
21,P103,17,2074
21,P101,17,2074
21,P033,16,2074
21,P099,16,2074
21,P108,15,2074
21,P098,12,2074
21,P027,11,2074
21,P106,9,2074
21,P109,9,2074
21,P017,9,2074
21,P034,9,2074
21,P107,8,2074
21,P021,7,2074
21,P115,7,2074
21,P015,5,2074
21,P091,5,2074
21,P117,1,2074
22,P029,72585,2074
22,P002,62721,2074
22,P001,31091,2074
22,P003,29765,2074
22,P006,16656,2074
22,P104,4363,2074
22,P005,2876,2074
22,P036,1913,2074
22,P097,1906,2074
22,P014,1598,2074
22,P092,1515,2074
22,P022,1280,2074
22,P114,904,2074
22,P023,850,2074
22,P058,826,2074
22,P018,557,2074
22,P113,505,2074
22,P096,502,2074
22,P055,210,2074
22,P012,194,2074
22,P011,178,2074
22,P100,78,2074
22,P105,52,2074
22,P098,41,2074
22,P074,25,2074
22,P111,22,2074
22,P039,22,2074
22,P110,20,2074
22,P017,19,2074
22,P099,19,2074
22,P073,18,2074
22,P115,18,2074
22,P027,14,2074
22,P021,11,2074
22,P101,9,2074
22,P103,9,2074
22,P091,8,2074
22,P102,8,2074
22,P117,7,2074
22,P059,7,2074
22,P033,7,2074
22,P108,6,2074
22,P106,6,2074
22,P015,5,2074
22,P109,4,2074
22,P107,4,2074
22,P034,4,2074
22,P116,1,2074
22,P112,1,2074
