state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received
2,15,4,P034,रामजीवन प्रसाद साह,पुरुष,41,115
2,15,4,P033,मकुन चौधरी,पुरुष,41,104
2,15,4,P000,कर्म चन्द चौधरी थारु,पुरुष,50,65
2,15,4,P000,संतोष प्रसाद सिंह,पुरुष,44,62
2,15,4,P000,राजेश कुमार यादव,पुरुष,35,9
2,16,1,P002,प्रदिप गिरी,पुरुष,67,23951
2,16,1,P001,गंगा प्रसाद यादव,पुरुष,56,21371
2,16,1,P006,राज लाल यादव,पुरुष,72,13351
2,16,1,P018,देव नरायण राम,पुरुष,49,567
2,16,1,P113,सुरेन्द्र प्रसाद साह,पुरुष,46,314
2,16,1,P014,ज्योती कुमार राय दनुवार,पुरुष,48,183
2,16,1,P011,हरिनारायण महतो,पुरुष,47,97
2,16,1,P000,ध्रुव प्रसाद साह सोनार,पुरुष,49,79
2,16,1,P096,इन्द्र प्रसाद यादव,पुरुष,45,44
2,16,1,P000,अजय कुमार यादव,पुरुष,27,42
2,16,1,P104,निर्मला देवी महतो,महिला,48,42
2,16,1,P000,इस्लाम अली,पुरुष,43,40
2,16,1,P000,संजिव कुमार ठाकुर,पुरुष,27,34
2,16,1,P000,बालेश्‍वर साह,पुरुष,48,30
2,16,2,P003,सुरेस चन्द्र दास,पुरुष,61,20148
2,16,2,P006,शत्रुधन प्रसाद सिंह,पुरुष,47,17260
2,16,2,P002,राम चन्द्र यादव,पुरुष,46,15597
2,16,2,P022,दुर्गा प्रसाद लम्साल,पुरुष,54,1777
2,16,2,P113,जितेन्‍द्र कुमार सिंह,पुरुष,36,710
2,16,2,P023,राज कुमारी देवी राय,महिला,45,506
2,16,2,P014,राम बहादुर यादव,पुरुष,48,186
2,16,2,P096,देवचन्द्र मिश्र,पुरुष,64,167
2,16,2,P000,महेश्वर यादव,पुरुष,39,94
2,16,2,P011,राज कुमार पासमान,पुरुष,45,90
2,16,2,P000,अधिक लाल यादव,पुरुष,48,70
2,16,2,P034,राम चन्द्र पाल,पुरुष,59,65
2,16,2,P000,महेश कुमार अधिकारी,पुरुष,45,33
2,16,2,P000,राम औतार पासमान,पुरुष,40,31
2,16,2,P000,पाण्डव कुमार मण्डल,पुरुष,47,21
2,16,2,P000,शुभ लाल लामा,पुरुष,41,12
2,16,3,P001,लिलानाथ श्रेष्ठ,पुरुष,60,23272
2,16,3,P006,असेश्वर यादव,पुरुष,46,21220
2,16,3,P002,अमर रेग्मी,पुरुष,64,11778
2,16,3,P022,राम सौगारथ पासमान,पुरुष,41,821
2,16,3,P023,राम लोचन  यादव ,पुरुष,41,329
2,16,3,P096,देवी लाल सदा मुसहर,पुरुष,47,228
2,16,3,P091,कमल राय,पुरुष,56,142
2,16,3,P034,रीता देवी -,महिला,38,103
2,16,3,P000,गुगली प्रसाद यादव,पुरुष,45,85
2,16,3,P000,कारी राम यादव,पुरुष,45,54
2,16,3,P000,देव नारायण महतो,पुरुष,49,40
2,16,3,P000,विक्रम कुमार साह,पुरुष,36,37
2,16,3,P000,दिनेश  कुमार  श्रेष्‍ठ,पुरुष,47,23
2,16,4,P029,राज किशोर यादव,पुरुष,44,21144
2,16,4,P003,अजय शंकर नायक,पुरुष,40,17575
2,16,4,P002,मोख्तार अहमद,पुरुष,45,10088
2,16,4,P022,राम एकवाल यादव,पुरुष,41,2219
2,16,4,P096,राम बावु यादब,पुरुष,46,411
2,16,4,P088,गंगा प्रसाद महरा,पुरुष,47,394
2,16,4,P014,चन्‍देश्‍वर पासवान,पुरुष,47,283
2,16,4,P104,जीवन साह तेली,पुरुष,41,146
2,16,4,P023,राम वहादुर यादव,पुरुष,43,115
2,16,4,P113,रामदेव कारक सुडी,पुरुष,45,86
2,16,4,P000,फुलदेव ठाकुर हजाम,पुरुष,38,55
2,16,4,P000,राम प्रकाश चमार,पुरुष,46,36
2,16,4,P000,लक्ष्मण यादव,पुरुष,44,15
2,16,4,P000,राम नारायण साह सुडी,पुरुष,57,13
2,16,4,P000,प्रताप विश्‍वकर्मा,पुरुष,29,12
2,16,4,P000,मो. ताहिर राइन,पुरुष,33,11
2,16,4,P000,मो. अलिहुसेन राइन,पुरुष,39,8
3,17,1,P001,पार्वत गुरुङ,पुरुष,49,55457
3,17,1,P002,रुद्र बहादुर खड्का,पुरुष,57,24813
3,17,1,P017,ठाकुर मान थामी,पुरुष,36,772
3,17,1,P006,लक्षुमन गुभाजु बाडा,पुरुष,29,308
3,17,1,P092,विजय बाबु शिवाकोटी,पुरुष,32,303
3,17,1,P014,वैकुन्‍ठ प्रसाद भण्‍डारी,पुरुष,45,170
3,17,1,P033,बल बहादुर दर्जी,पुरुष,51,166
3,17,1,P113,गोबिन्द काफ्ले,पुरुष,31,163
3,17,1,P055,काजी मान मोक्तान,पुरुष,63,99
3,17,1,P115,चित्र बहादुर तमाङ,पुरुष,40,61
3,17,1,P000,चटक गुरुङ्ग,पुरुष,41,44
3,17,1,P011,कृष्ण प्रसाद शिवाकोटी,पुरुष,69,31
3,17,1,P000,सुब्बा श्रेष्ठ,पुरुष,28,26
3,17,1,P000,मिङगुर शेर्पा,पुरुष,42,13
