district_id,party_id,election_year,vote_share,vote_share_lag,vote_share_change,is_new_party,Absent rate within country 2078,Absent rate abroad 2078,Literacy Rate 2078,Primary Education % 2078,Lower Secondary % 2078,Upper Secondary % 2078,SLC or SEE % 2078,Intermediate & equivalent % 2078,Graduate & equivalent % 2078,Post graduate equivalent & above % 2078,IS_ALTERNATIVE_FORCE?,GenZ_and_Youth_Favored?,Was_Part_Of_Ousted_Government?,IS_Major?,Facebook_Presence (In Thousands),Top_leader_fb (in Thousands),age_18-29_ratio,age_30-39_ratio,age_40-49_ratio,age_50-59_ratio,age_60-69_ratio,age_70+_ratio,female_ratio,valid_turnout,valid_turnout_lag,facebook_log,leader_following_log
19,P008,2079,0.6703133120171938,0.0,0.6703133120171938,1,18.89,4.58,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26,0,0,0,0,1.0,1.0,0.18531850673661399,0.2591770959775648,0.19040177844748604,0.15456308512271008,0.10843227807775127,0.10210725563787386,0.4845202501331772,54.48,57.55,0.6931471805599453,0.6931471805599453
19,P009,2079,0.0563732614574249,0.0,0.0563732614574249,1,18.89,4.58,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26,1,0,1,0,30.0,40.0,0.18531850673661399,0.2591770959775648,0.19040177844748604,0.15456308512271008,0.10843227807775127,0.10210725563787386,0.4845202501331772,54.48,57.55,3.4339872044851463,3.713572066704308
19,P010,2079,0.0651815835601476,0.0,0.0651815835601476,1,18.89,4.58,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26,0,0,1,0,7.0,9.0,0.18531850673661399,0.2591770959775648,0.19040177844748604,0.15456308512271008,0.10843227807775127,0.10210725563787386,0.4845202501331772,54.48,57.55,2.0794415416798357,2.302585092994046
19,P011,2079,0.1101040262840331,0.0832774959318464,0.0268265303521866,0,18.89,4.58,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26,0,0,0,0,5.0,8.0,0.18531850673661399,0.2591770959775648,0.19040177844748604,0.15456308512271008,0.10843227807775127,0.10210725563787386,0.4845202501331772,54.48,57.55,1.791759469228055,2.1972245773362196
19,P012,2079,0.1074615296532163,0.0555183306212309,0.0519431990319854,0,18.89,4.58,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26,0,0,0,0,4.0,7.0,0.18531850673661399,0.2591770959775648,0.19040177844748604,0.15456308512271008,0.10843227807775127,0.10210725563787386,0.4845202501331772,54.48,57.55,1.6094379124341003,2.0794415416798357
19,P013,2079,0.0546115970368804,0.0,0.0546115970368804,1,18.89,4.58,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26,0,0,0,0,1.0,1.0,0.18531850673661399,0.2591770959775648,0.19040177844748604,0.15456308512271008,0.10843227807775127,0.10210725563787386,0.4845202501331772,54.48,57.55,0.6931471805599453,0.6931471805599453
19,P016,2079,0.0088083221027226,0.0,0.0088083221027226,1,18.89,4.58,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26,0,0,0,0,1.0,1.0,0.18531850673661399,0.2591770959775648,0.19040177844748604,0.15456308512271008,0.10843227807775127,0.10210725563787386,0.4845202501331772,54.48,57.55,0.6931471805599453,0.6931471805599453
19,P017,2079,0.3849236758889799,0.0114865511630133,0.3734371247259666,0,18.89,4.58,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26,0,0,0,0,1.0,1.0,0.18531850673661399,0.2591770959775648,0.19040177844748604,0.15456308512271008,0.10843227807775127,0.10210725563787386,0.4845202501331772,54.48,57.55,0.6931471805599453,0.6931471805599453
19,P018,2079,0.0079274898924503,0.0114865511630133,-0.0035590612705629,0,18.89,4.58,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26,0,0,0,0,1.0,1.0,0.18531850673661399,0.2591770959775648,0.19040177844748604,0.15456308512271008,0.10843227807775127,0.10210725563787386,0.4845202501331772,54.48,57.55,0.6931471805599453,0.6931471805599453
19,P022,2079,0.650935003391204,0.5704987077629942,0.0804362956282098,0,18.89,4.58,72.59,33.08,20.66,15.19,9.26,11.53,2.24,1.26,0,0,0,0,1.0,1.0,0.18531850673661399,0.2591770959775648,0.19040177844748604,0.15456308512271008,0.10843227807775127,0.10210725563787386,0.4845202501331772,54.48,57.55,0.6931471805599453,0.6931471805599453
