party_id,district_id,election_year,vote_share_lag,is_new_party,Absent rate within country 2078,Absent rate abroad 2078,Literacy Rate 2078,Primary Education % 2078,Lower Secondary % 2078,Upper Secondary % 2078,SLC or SEE % 2078,Intermediate & equivalent % 2078,Graduate & equivalent % 2078,Post graduate equivalent & above % 2078,IS_Major?,IS_ALTERNATIVE_FORCE?,GenZ_and_Youth_Favored?,Was_Part_Of_Ousted_Government?,Facebook_Presence (In Thousands),Top_leader_fb (in Thousands),facebook_log,leader_following_log,female_ratio,age_18-29_ratio,age_30-39_ratio,age_40-49_ratio,age_50-59_ratio,age_60-69_ratio,age_70+_ratio,total_voters,valid_turnout_lag
P071,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P072,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P073,49,2082,0.0083801223497863,0,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P074,49,2082,0.0209503058744657,0,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P075,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P076,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P077,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P078,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P079,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P080,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P081,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P082,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P083,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P084,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P085,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P086,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P087,49,2082,0.0,1,13.81,10.06,79.7,30.26,21.09,14.15,10.98,12.04,2.52,1.27,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5100177089482274,0.18750651064273066,0.23905922659351597,0.19034225725430282,0.14903295253307405,0.11668229220922023,0.11737676076715627,86397,55.42
P001,50,2082,31.493751401602417,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,1,0,0,1,374.0,710.0,5.926926025970411,6.566672429803241,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P002,50,2082,33.410124156490184,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,1,0,0,1,32.0,621.0,3.49650756146648,6.432940092739179,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P003,50,2082,12.082322480683372,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,1,0,0,0,174.0,756.0,5.1647859739235145,6.6293632534374485,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P004,50,2082,11.262767323805836,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,1,1,1,0,401.0,3300.0,5.996452088619021,8.101980731853192,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P005,50,2082,1.3689833030926994,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,1,0,0,0,43.0,910.0,3.784189633918261,6.814542897259958,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P006,50,2082,0.0937799433242951,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,1,0,0,0,33.0,29.0,3.5263605246161616,3.4011973816621555,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P007,50,2082,0.0968379849544351,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,1,1,0,0,27.0,679.0,3.332204510175204,6.522092798170152,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
